date,datatype,satellite,region,data
19960101,lac,noaa14,Auyuittuq_Canada,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
19960101,gac,noaa14,Auyuittuq_Canada,[nan]
19960102,lac,noaa14,Auyuittuq_Canada,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
19960102,gac,noaa14,Auyuittuq_Canada,[nan]
19960103,lac,noaa14,Auyuittuq_Canada,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
19960103,gac,noaa14,Auyuittuq_Canada,[nan]
